Student_ID,Study_Hours,Attendance,Previous_Marks,Assignments,Internal_Marks,Final_Result
1,2,60,45,50,48,Fail
2,3,65,50,55,52,Fail
3,4,70,58,60,57,Pass
4,5,75,62,65,63,Pass
5,6,80,70,72,68,Pass
6,1,50,35,40,38,Fail
7,7,85,75,78,74,Pass
8,8,90,82,85,80,Pass
9,2,55,42,45,44,Fail
10,3,60,48,50,49,Fail
11,9,92,88,90,86,Pass
12,4,68,59,61,60,Pass
13,5,72,64,66,65,Pass
14,1,48,30,35,32,Fail
15,6,78,73,75,71,Pass
16,2,58,40,42,41,Fail
17,7,83,77,79,76,Pass
18,8,88,84,86,82,Pass
19,3,62,52,54,53,Fail
20,4,69,60,63,61,Pass
21,5,74,67,69,66,Pass
22,1,45,28,30,29,Fail
23,6,79,72,74,73,Pass
24,7,81,76,77,75,Pass
25,2,57,43,46,45,Fail
26,3,63,51,53,52,Fail
27,8,89,85,87,84,Pass
28,9,94,90,92,89,Pass
29,4,67,57,59,58,Pass
30,5,73,66,68,67,Pass
31,1,52,34,36,35,Fail
32,6,77,71,73,70,Pass
33,7,84,78,80,77,Pass
34,2,56,41,44,42,Fail
35,3,61,49,51,50,Fail
36,8,91,86,88,85,Pass
37,9,95,91,93,90,Pass
38,4,66,56,58,57,Pass
39,5,71,65,67,64,Pass
40,1,47,29,31,30,Fail
41,6,76,70,72,69,Pass
42,7,82,75,78,74,Pass
43,2,54,39,41,40,Fail
44,3,64,53,55,54,Pass
45,8,87,83,85,81,Pass
46,9,93,89,91,88,Pass
47,4,70,61,64,62,Pass
48,5,75,68,70,69,Pass
49,1,49,32,34,33,Fail
50,6,80,74,76,72,Pass
51,2,59,44,46,45,Fail
52,3,66,52,54,53,Pass
53,4,71,60,62,61,Pass
54,5,76,68,70,69,Pass
55,6,81,75,77,74,Pass
56,1,46,31,33,32,Fail
57,7,85,79,81,78,Pass
58,8,90,85,88,84,Pass
59,2,58,43,45,44,Fail
60,3,64,50,52,51,Pass
61,9,93,88,90,87,Pass
62,4,69,58,60,59,Pass
63,5,74,66,68,67,Pass
64,1,48,30,32,31,Fail
65,6,79,73,75,72,Pass
66,2,57,41,43,42,Fail
67,7,83,77,79,76,Pass
68,8,88,84,86,82,Pass
69,3,61,50,52,51,Pass
70,4,68,57,59,58,Pass
71,5,72,65,67,66,Pass
72,1,44,28,30,29,Fail
73,6,78,72,74,71,Pass
74,7,82,76,78,75,Pass
75,2,56,42,44,43,Fail
76,3,63,51,53,52,Pass
77,8,91,86,88,85,Pass
78,9,94,90,92,89,Pass
79,4,67,56,58,57,Pass
80,5,73,65,67,66,Pass
81,1,45,29,31,30,Fail
82,6,77,70,72,69,Pass
83,7,84,78,80,77,Pass
84,2,55,40,42,41,Fail
85,3,62,49,51,50,Pass
86,8,89,85,87,84,Pass
87,9,95,91,93,90,Pass
88,4,70,60,62,61,Pass
89,5,75,68,70,69,Pass
90,1,47,32,34,33,Fail
91,6,80,74,76,73,Pass
92,7,83,77,79,76,Pass
93,2,58,42,44,43,Fail
94,3,65,51,53,52,Pass
95,8,92,87,89,86,Pass
96,9,96,92,94,91,Pass
97,4,68,58,60,59,Pass
98,5,74,66,68,67,Pass
99,1,46,30,32,31,Fail
100,6,78,72,74,71,Pass
